Date,Stock Name,Trend,Tweet
2021-10-21,DIS,1,78
2021-10-21,VZ,0,78
2021-10-21,CRM,1,78
2021-10-21,INTC,1,78
2021-10-21,BA,0,78
2021-10-21,BX,1,78
2021-10-21,NOC,1,78
2021-10-21,PYPL,0,78
2021-10-21,ENPH,1,78
2021-10-21,NIO,1,78
2021-10-21,ZS,1,78
2021-10-21,XPEV,1,78
2021-10-22,TSLA,1,71
2021-10-22,MSFT,0,71
2021-10-22,PG,1,71
2021-10-22,META,0,71
2021-10-22,AMZN,0,71
2021-10-22,GOOG,0,71
2021-10-22,AMD,0,71
2021-10-22,AAPL,0,71
2021-10-22,NFLX,1,71
2021-10-22,TSM,0,71
2021-10-22,KO,1,71
2021-10-22,F,0,71
2021-10-22,COST,1,71
2021-10-22,DIS,0,71
2021-10-22,VZ,0,71
2021-10-22,CRM,1,71
2021-10-22,INTC,0,71
2021-10-22,BA,0,71
2021-10-22,BX,1,71
2021-10-22,NOC,1,71
2021-10-22,PYPL,0,71
2021-10-22,ENPH,0,71
2021-10-22,NIO,0,71
2021-10-22,ZS,1,71
2021-10-22,XPEV,0,71
2021-10-25,TSLA,1,170
2021-10-25,MSFT,0,170
2021-10-25,PG,1,170
2021-10-25,META,1,170
2021-10-25,AMZN,0,170
2021-10-25,GOOG,0,170
2021-10-25,AMD,1,170
2021-10-25,AAPL,0,170
2021-10-25,NFLX,1,170
2021-10-25,TSM,0,170
2021-10-25,KO,0,170
2021-10-25,F,0,170
2021-10-25,COST,1,170
2021-10-25,DIS,1,170
2021-10-25,VZ,0,170
2021-10-25,CRM,1,170
2021-10-25,INTC,0,170
2021-10-25,BA,0,170
2021-10-25,BX,0,170
2021-10-25,NOC,1,170
2021-10-25,PYPL,0,170
2021-10-25,ENPH,1,170
2021-10-25,NIO,1,170
2021-10-25,ZS,1,170
2021-10-25,XPEV,1,170
2021-10-26,TSLA,0,104
2021-10-26,MSFT,0,104
2021-10-26,PG,1,104
2021-10-26,META,0,104
2021-10-26,AMZN,1,104
2021-10-26,GOOG,0,104
2021-10-26,AMD,0,104
2021-10-26,AAPL,0,104
2021-10-26,NFLX,0,104
2021-10-26,TSM,0,104
2021-10-26,KO,1,104
2021-10-26,F,0,104
2021-10-26,COST,1,104
2021-10-26,DIS,0,104
2021-10-26,VZ,1,104
2021-10-26,CRM,0,104
2021-10-26,INTC,0,104
2021-10-26,BA,0,104
2021-10-26,BX,1,104
2021-10-26,NOC,1,104
2021-10-26,PYPL,0,104
2021-10-26,ENPH,0,104
2021-10-26,NIO,0,104
2021-10-26,ZS,1,104
2021-10-26,XPEV,0,104
2021-10-27,TSLA,0,52
2021-10-27,MSFT,1,52
2021-10-27,PG,0,52
2021-10-27,META,0,52
2021-10-27,AMZN,1,52
2021-10-27,GOOG,1,52
2021-10-27,AMD,1,52
2021-10-27,AAPL,0,52
2021-10-27,NFLX,0,52
2021-10-27,TSM,0,52
2021-10-27,KO,0,52
2021-10-27,F,0,52
2021-10-27,COST,1,52
2021-10-27,DIS,0,52
2021-10-27,VZ,0,52
2021-10-27,CRM,0,52
2021-10-27,INTC,0,52
2021-10-27,BA,0,52
2021-10-27,BX,0,52
2021-10-27,NOC,0,52
2021-10-27,PYPL,0,52
2021-10-27,ENPH,1,52
2021-10-27,NIO,0,52
2021-10-27,ZS,0,52
2021-10-27,XPEV,0,52
2021-10-28,TSLA,1,82
2021-10-28,MSFT,1,82
2021-10-28,PG,1,82
2021-10-28,META,1,82
2021-10-28,AMZN,1,82
2021-10-28,GOOG,0,82
2021-10-28,AMD,0,82
2021-10-28,AAPL,1,82
2021-10-28,NFLX,1,82
2021-10-28,TSM,1,82
2021-10-28,KO,1,82
2021-10-28,F,0,82
2021-10-28,COST,1,82
2021-10-28,DIS,1,82
2021-10-28,VZ,1,82
2021-10-28,CRM,1,82
2021-10-28,INTC,0,82
2021-10-28,BA,1,82
2021-10-28,BX,1,82
2021-10-28,NOC,0,82
2021-10-28,PYPL,0,82
2021-10-28,ENPH,1,82
2021-10-28,NIO,1,82
2021-10-28,ZS,1,82
2021-10-28,XPEV,0,82
2021-10-29,TSLA,1,67
2021-10-29,MSFT,1,67
2021-10-29,PG,1,67
2021-10-29,META,1,67
2021-10-29,AMZN,1,67
2021-10-29,GOOG,1,67
2021-10-29,AMD,0,67
2021-10-29,AAPL,1,67
2021-10-29,NFLX,1,67
2021-10-29,TSM,0,67
2021-10-29,KO,1,67
2021-10-29,F,1,67
2021-10-29,COST,1,67
2021-10-29,DIS,1,67
2021-10-29,VZ,1,67
2021-10-29,CRM,1,67
2021-10-29,INTC,1,67
2021-10-29,BA,1,67
2021-10-29,BX,1,67
2021-10-29,NOC,1,67
2021-10-29,PYPL,0,67
2021-10-29,ENPH,1,67
2021-10-29,NIO,0,67
2021-10-29,ZS,1,67
2021-10-29,XPEV,1,67
2021-11-01,TSLA,1,70
2021-11-01,MSFT,0,70
2021-11-01,PG,0,70
2021-11-01,META,1,70
2021-11-01,AMZN,0,70
2021-11-01,GOOG,0,70
2021-11-01,AMD,1,70
2021-11-01,AAPL,0,70
2021-11-01,NFLX,0,70
2021-11-01,TSM,1,70
2021-11-01,KO,0,70
2021-11-01,F,1,70
2021-11-01,COST,0,70
2021-11-01,DIS,1,70
2021-11-01,VZ,0,70
2021-11-01,CRM,1,70
2021-11-01,INTC,1,70
2021-11-01,BA,1,70
2021-11-01,BX,0,70
2021-11-01,NOC,0,70
2021-11-01,PYPL,0,70
2021-11-01,ENPH,1,70
2021-11-01,NIO,1,70
2021-11-01,ZS,0,70
2021-11-01,XPEV,0,70
2021-11-02,TSLA,1,49
2021-11-02,MSFT,1,49
2021-11-02,PG,1,49
2021-11-02,META,0,49
2021-11-02,AMZN,0,49
2021-11-02,GOOG,1,49
2021-11-02,AMD,1,49
2021-11-02,AAPL,1,49
